"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"Category3"	"keggID"	"Category1"	"Category2"
1	1.0098190571652e-06	1.0098190571652e-06	2.1157024093008	0.155534602764428	"sex        "	"ns"	"Porphyrin metabolism"	"Kegg249"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	2.46231880559504e-06	3.5175982937072e-07	0.736982643785774	0.642417584685992	"Plant:sex  "	"ns"	"Porphyrin metabolism"	"Kegg249"	"Metabolism"	"Metabolism of cofactors and vitamins"
32	1.52735137452369e-05	4.77297304538652e-07	NA	NA	"Residuals  "	NA	"Porphyrin metabolism"	"Kegg249"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	3.66846281609822e-08	5.2406611658546e-09	7.87955311736678	1.50908224332868e-05	"Plant      "	"***"	"Primary bile acid biosynthesis"	"Kegg250"	"Metabolism"	"Lipid metabolism"
1	2.1295753165043e-10	2.1295753165043e-10	0.320190550252688	0.575440005774918	"sex        "	"ns"	"Primary bile acid biosynthesis"	"Kegg250"	"Metabolism"	"Lipid metabolism"
7	5.48637900620845e-09	7.8376842945835e-10	1.17842859444341	0.342473100392048	"Plant:sex  "	"ns"	"Primary bile acid biosynthesis"	"Kegg250"	"Metabolism"	"Lipid metabolism"
32	2.12830797393483e-08	6.65096241854633e-10	NA	NA	"Residuals  "	NA	"Primary bile acid biosynthesis"	"Kegg250"	"Metabolism"	"Lipid metabolism"
7	1.02726957533782e-08	1.46752796476832e-09	2.48602943637998	0.0370502299167884	"Plant      "	"*"	"Primary immunodeficiency"	"Kegg251"	"Human Diseases"	"Immune disease"
1	9.72900386563758e-11	9.72900386563758e-11	0.164811782652796	0.6874665274294	"sex        "	"ns"	"Primary immunodeficiency"	"Kegg251"	"Human Diseases"	"Immune disease"
7	8.57696303597561e-09	1.2252804337108e-09	2.07565600053583	0.0754501803289462	"Plant:sex  "	"ns"	"Primary immunodeficiency"	"Kegg251"	"Human Diseases"	"Immune disease"
32	1.88899190755231e-08	5.90309971110097e-10	NA	NA	"Residuals  "	NA	"Primary immunodeficiency"	"Kegg251"	"Human Diseases"	"Immune disease"
7	2.91439747159611e-07	4.16342495942301e-08	2.92772250739491	0.0174061764070892	"Plant      "	"*"	"Prion disease"	"Kegg252"	"Human Diseases"	"Neurodegenerative disease"
1	1.83076254182113e-08	1.83076254182113e-08	1.2873931322466	0.26495698177259	"sex        "	"ns"	"Prion disease"	"Kegg252"	"Human Diseases"	"Neurodegenerative disease"
7	3.56856060881444e-08	5.09794372687777e-09	0.358487657063025	0.919434123467956	"Plant:sex  "	"ns"	"Prion disease"	"Kegg252"	"Human Diseases"	"Neurodegenerative disease"
32	4.55062248437213e-07	1.42206952636629e-08	NA	NA	"Residuals  "	NA	"Prion disease"	"Kegg252"	"Human Diseases"	"Neurodegenerative disease"
7	1.4841066568572e-07	2.12015236693886e-08	2.03736818889474	0.0806345633745649	"Plant      "	"ns"	"Prodigiosin biosynthesis"	"Kegg253"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	6.229024070021e-08	6.229024070021e-08	5.98580351394453	0.0200973697264851	"sex        "	"*"	"Prodigiosin biosynthesis"	"Kegg253"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	6.653056316307e-08	9.50436616615286e-09	0.913325550770933	0.508915691283676	"Plant:sex  "	"ns"	"Prodigiosin biosynthesis"	"Kegg253"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	3.33002528025378e-07	1.04063290007931e-08	NA	NA	"Residuals  "	NA	"Prodigiosin biosynthesis"	"Kegg253"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	5.71912509116359e-08	8.17017870166227e-09	5.11804240451322	0.000556064638396739	"Plant      "	"***"	"Progesterone-mediated oocyte maturation"	"Kegg254"	"Organismal Systems"	"Endocrine system"
1	5.09340629017895e-09	5.09340629017895e-09	3.19066085681168	0.0835391802344844	"sex        "	"ns"	"Progesterone-mediated oocyte maturation"	"Kegg254"	"Organismal Systems"	"Endocrine system"
7	1.36055945087866e-08	1.94365635839809e-09	1.21756402464725	0.321949429599967	"Plant:sex  "	"ns"	"Progesterone-mediated oocyte maturation"	"Kegg254"	"Organismal Systems"	"Endocrine system"
32	5.10831481627904e-08	1.5963483800872e-09	NA	NA	"Residuals  "	NA	"Progesterone-mediated oocyte maturation"	"Kegg254"	"Organismal Systems"	"Endocrine system"
7	1.16432775735423e-08	1.6633253676489e-09	1.63453490139744	0.161463968924329	"Plant      "	"ns"	"Prolactin signaling pathway"	"Kegg255"	"Organismal Systems"	"Endocrine system"
1	1.53803321125691e-09	1.53803321125691e-09	1.51141142448953	0.227887132845662	"sex        "	"ns"	"Prolactin signaling pathway"	"Kegg255"	"Organismal Systems"	"Endocrine system"
7	7.10783900877843e-09	1.01540557268263e-09	0.997829937487944	0.450780118226165	"Plant:sex  "	"ns"	"Prolactin signaling pathway"	"Kegg255"	"Organismal Systems"	"Endocrine system"
32	3.25636434677896e-08	1.01761385836843e-09	NA	NA	"Residuals  "	NA	"Prolactin signaling pathway"	"Kegg255"	"Organismal Systems"	"Endocrine system"
7	1.63374549191673e-06	2.33392213130962e-07	2.81491752358841	0.0210795385607949	"Plant      "	"*"	"Propanoate metabolism"	"Kegg256"	"Metabolism"	"Carbohydrate metabolism"
1	1.70889102430698e-08	1.70889102430698e-08	0.206107445732366	0.652899899867933	"sex        "	"ns"	"Propanoate metabolism"	"Kegg256"	"Metabolism"	"Carbohydrate metabolism"
7	4.33934925463542e-07	6.19907036376489e-08	0.747662981674877	0.63399682262373	"Plant:sex  "	"ns"	"Propanoate metabolism"	"Kegg256"	"Metabolism"	"Carbohydrate metabolism"
32	2.65320413745906e-06	8.29126292955957e-08	NA	NA	"Residuals  "	NA	"Propanoate metabolism"	"Kegg256"	"Metabolism"	"Carbohydrate metabolism"
7	5.71912509116359e-08	8.17017870166227e-09	5.11804240451322	0.000556064638396739	"Plant      "	"***"	"Prostate cancer"	"Kegg257"	"Human Diseases"	"Cancer: specific types"
1	5.09340629017895e-09	5.09340629017895e-09	3.19066085681168	0.0835391802344844	"sex        "	"ns"	"Prostate cancer"	"Kegg257"	"Human Diseases"	"Cancer: specific types"
7	1.36055945087866e-08	1.94365635839809e-09	1.21756402464725	0.321949429599967	"Plant:sex  "	"ns"	"Prostate cancer"	"Kegg257"	"Human Diseases"	"Cancer: specific types"
32	5.10831481627904e-08	1.5963483800872e-09	NA	NA	"Residuals  "	NA	"Prostate cancer"	"Kegg257"	"Human Diseases"	"Cancer: specific types"
7	7.11512222195159e-08	1.01644603170737e-08	4.34427883145708	0.00176240323508303	"Plant      "	"**"	"Protein digestion and absorption"	"Kegg258"	"Organismal Systems"	"Digestive system"
1	2.3751878344988e-08	2.3751878344988e-08	10.1515259131024	0.00321085586408631	"sex        "	"**"	"Protein digestion and absorption"	"Kegg258"	"Organismal Systems"	"Digestive system"
7	1.90832098716191e-08	2.72617283880273e-09	1.16516318476942	0.349666430394859	"Plant:sex  "	"ns"	"Protein digestion and absorption"	"Kegg258"	"Organismal Systems"	"Digestive system"
32	7.48715132627122e-08	2.33973478945975e-09	NA	NA	"Residuals  "	NA	"Protein digestion and absorption"	"Kegg258"	"Organismal Systems"	"Digestive system"
7	1.21299231658384e-06	1.73284616654835e-07	4.39639260951477	0.00162712258050171	"Plant      "	"**"	"Protein export"	"Kegg259"	"Genetic Information Processing"	"Folding, sorting and degradation"
1	9.745992809095e-09	9.745992809095e-09	0.247264942413421	0.622407107464876	"sex        "	"ns"	"Protein export"	"Kegg259"	"Genetic Information Processing"	"Folding, sorting and degradation"
7	3.37937237401639e-07	4.82767482002341e-08	1.22482620267258	0.318254742719954	"Plant:sex  "	"ns"	"Protein export"	"Kegg259"	"Genetic Information Processing"	"Folding, sorting and degradation"
32	1.26128583715518e-06	3.94151824110995e-08	NA	NA	"Residuals  "	NA	"Protein export"	"Kegg259"	"Genetic Information Processing"	"Folding, sorting and degradation"
7	1.3019949730587e-07	1.85999281865529e-08	6.00186241695132	0.000161530162592908	"Plant      "	"***"	"Protein processing in endoplasmic reticulum"	"Kegg260"	"Genetic Information Processing"	"Folding, sorting and degradation"
1	6.0343677969392e-11	6.0343677969392e-11	0.0194718199593344	0.889896859357237	"sex        "	"ns"	"Protein processing in endoplasmic reticulum"	"Kegg260"	"Genetic Information Processing"	"Folding, sorting and degradation"
7	2.89390265575075e-08	4.1341466510725e-09	1.33401479631388	0.266878655281528	"Plant:sex  "	"ns"	"Protein processing in endoplasmic reticulum"	"Kegg260"	"Genetic Information Processing"	"Folding, sorting and degradation"
32	9.91688347084816e-08	3.09902608464005e-09	NA	NA	"Residuals  "	NA	"Protein processing in endoplasmic reticulum"	"Kegg260"	"Genetic Information Processing"	"Folding, sorting and degradation"
7	3.14420686993528e-09	4.49172409990754e-10	1.46205943494605	0.216008518138873	"Plant      "	"ns"	"Proteoglycans in cancer"	"Kegg261"	"Human Diseases"	"Cancer: overview"
1	1.39053111110128e-10	1.39053111110128e-10	0.452618879822447	0.50592353819447	"sex        "	"ns"	"Proteoglycans in cancer"	"Kegg261"	"Human Diseases"	"Cancer: overview"
7	2.84431096446983e-09	4.06330137781405e-10	1.32260752983127	0.271888328517234	"Plant:sex  "	"ns"	"Proteoglycans in cancer"	"Kegg261"	"Human Diseases"	"Cancer: overview"
32	9.8310073969288e-09	3.07218981154025e-10	NA	NA	"Residuals  "	NA	"Proteoglycans in cancer"	"Kegg261"	"Human Diseases"	"Cancer: overview"
7	9.8914878576545e-09	1.41306969395064e-09	1.40979079157178	0.235616961781364	"Plant      "	"ns"	"Proximal tubule bicarbonate reclamation"	"Kegg262"	"Organismal Systems"	"Excretory system"
1	1.21856060500439e-09	1.21856060500439e-09	1.21573304364373	0.27842333014121	"sex        "	"ns"	"Proximal tubule bicarbonate reclamation"	"Kegg262"	"Organismal Systems"	"Excretory system"
7	8.99284386309071e-09	1.28469198044153e-09	1.28171096711373	0.290525388256251	"Plant:sex  "	"ns"	"Proximal tubule bicarbonate reclamation"	"Kegg262"	"Organismal Systems"	"Excretory system"
32	3.20744258486798e-08	1.00232580777124e-09	NA	NA	"Residuals  "	NA	"Proximal tubule bicarbonate reclamation"	"Kegg262"	"Organismal Systems"	"Excretory system"
7	1.18510416265294e-06	1.69300594664705e-07	0.851581073363578	0.554053820057707	"Plant      "	"ns"	"Purine metabolism"	"Kegg263"	"Metabolism"	"Nucleotide metabolism"
1	1.25968053019508e-06	1.25968053019508e-06	6.33618623799413	0.0170345250033154	"sex        "	"*"	"Purine metabolism"	"Kegg263"	"Metabolism"	"Nucleotide metabolism"
7	1.29471296403667e-06	1.84958994862382e-07	0.930342741471727	0.496853244174761	"Plant:sex  "	"ns"	"Purine metabolism"	"Kegg263"	"Metabolism"	"Nucleotide metabolism"
32	6.36183588236883e-06	1.98807371324026e-07	NA	NA	"Residuals  "	NA	"Purine metabolism"	"Kegg263"	"Metabolism"	"Nucleotide metabolism"
7	1.24462783012176e-06	1.7780397573168e-07	2.6703849860764	0.0269824914037434	"Plant      "	"*"	"Pyrimidine metabolism"	"Kegg264"	"Metabolism"	"Nucleotide metabolism"
1	7.43242649012512e-07	7.43242649012512e-07	11.1625401106317	0.00213361931876724	"sex        "	"**"	"Pyrimidine metabolism"	"Kegg264"	"Metabolism"	"Nucleotide metabolism"
7	8.34935406538199e-07	1.19276486648314e-07	1.79137804892654	0.123413146342337	"Plant:sex  "	"ns"	"Pyrimidine metabolism"	"Kegg264"	"Metabolism"	"Nucleotide metabolism"
32	2.13067675750143e-06	6.65836486719198e-08	NA	NA	"Residuals  "	NA	"Pyrimidine metabolism"	"Kegg264"	"Metabolism"	"Nucleotide metabolism"
7	3.45122646834443e-06	4.93032352620633e-07	3.7740814438129	0.00431140262752148	"Plant      "	"**"	"Pyruvate metabolism"	"Kegg265"	"Metabolism"	"Carbohydrate metabolism"
1	9.74629277622218e-08	9.74629277622218e-08	0.746062657292005	0.394153970392282	"sex        "	"ns"	"Pyruvate metabolism"	"Kegg265"	"Metabolism"	"Carbohydrate metabolism"
7	1.48219366170682e-06	2.11741951672403e-07	1.62084976053983	0.165269072066083	"Plant:sex  "	"ns"	"Pyruvate metabolism"	"Kegg265"	"Metabolism"	"Carbohydrate metabolism"
32	4.18036428697759e-06	1.3063638396805e-07	NA	NA	"Residuals  "	NA	"Pyruvate metabolism"	"Kegg265"	"Metabolism"	"Carbohydrate metabolism"
7	2.59644398642073e-05	3.70920569488675e-06	5.6226984994578	0.000271723739677992	"Plant      "	"***"	"Quorum sensing"	"Kegg266"	"Cellular Processes"	"Cellular community - prokaryotes"
1	9.52865344690608e-06	9.52865344690608e-06	14.4442637709818	0.000611206342150906	"sex        "	"***"	"Quorum sensing"	"Kegg266"	"Cellular Processes"	"Cellular community - prokaryotes"
7	2.06572111721503e-05	2.95103016745005e-06	4.4733978806432	0.00144683950625527	"Plant:sex  "	"**"	"Quorum sensing"	"Kegg266"	"Cellular Processes"	"Cellular community - prokaryotes"
32	2.11098962976268e-05	6.59684259300838e-07	NA	NA	"Residuals  "	NA	"Quorum sensing"	"Kegg266"	"Cellular Processes"	"Cellular community - prokaryotes"
7	1.38974296066326e-10	1.98534708666179e-11	1.86647667303016	0.108415642510151	"Plant      "	"ns"	"RIG-I-like receptor signaling pathway"	"Kegg267"	"Organismal Systems"	"Immune system"
1	3.8484724574721e-12	3.8484724574721e-12	0.36180495173509	0.551743359623951	"sex        "	"ns"	"RIG-I-like receptor signaling pathway"	"Kegg267"	"Organismal Systems"	"Immune system"
7	1.16493780189338e-10	1.66419685984769e-11	1.56455495318884	0.181828236544655	"Plant:sex  "	"ns"	"RIG-I-like receptor signaling pathway"	"Kegg267"	"Organismal Systems"	"Immune system"
32	3.40379859503077e-10	1.06368706094711e-11	NA	NA	"Residuals  "	NA	"RIG-I-like receptor signaling pathway"	"Kegg267"	"Organismal Systems"	"Immune system"
7	3.30527689391418e-07	4.72182413416312e-08	3.17408036518733	0.0115051032452773	"Plant      "	"*"	"RNA degradation"	"Kegg268"	"Genetic Information Processing"	"Folding, sorting and degradation"
1	2.4955503194045e-08	2.4955503194045e-08	1.67754601698284	0.204517505055138	"sex        "	"ns"	"RNA degradation"	"Kegg268"	"Genetic Information Processing"	"Folding, sorting and degradation"
7	2.61854779988065e-07	3.74078257125807e-08	2.51460964502221	0.0352680827502445	"Plant:sex  "	"*"	"RNA degradation"	"Kegg268"	"Genetic Information Processing"	"Folding, sorting and degradation"
32	4.76038269069795e-07	1.48761959084311e-08	NA	NA	"Residuals  "	NA	"RNA degradation"	"Kegg268"	"Genetic Information Processing"	"Folding, sorting and degradation"
7	5.71654173308586e-08	8.16648819012266e-09	1.7584278558362	0.130612031280702	"Plant      "	"ns"	"RNA polymerase"	"Kegg269"	"Genetic Information Processing"	"Transcription"
1	6.28835283708155e-09	6.28835283708155e-09	1.35402323968642	0.253179286833314	"sex        "	"ns"	"RNA polymerase"	"Kegg269"	"Genetic Information Processing"	"Transcription"
7	4.82107846105509e-08	6.88725494436441e-09	1.48298028019729	0.208585043189824	"Plant:sex  "	"ns"	"RNA polymerase"	"Kegg269"	"Genetic Information Processing"	"Transcription"
32	1.48614355270012e-07	4.64419860218786e-09	NA	NA	"Residuals  "	NA	"RNA polymerase"	"Kegg269"	"Genetic Information Processing"	"Transcription"
7	2.40035267674397e-11	3.42907525249139e-12	0.300009915082326	0.948665938759923	"Plant      "	"ns"	"Ras signaling pathway"	"Kegg270"	"Environmental Information Processing"	"Signal transduction"
1	7.99343280904562e-13	7.99343280904562e-13	0.06993457190873	0.79312793974666	"sex        "	"ns"	"Ras signaling pathway"	"Kegg270"	"Environmental Information Processing"	"Signal transduction"
7	8.54731398409484e-11	1.22104485487069e-11	1.06829257525134	0.405866037336839	"Plant:sex  "	"ns"	"Ras signaling pathway"	"Kegg270"	"Environmental Information Processing"	"Signal transduction"
32	3.65755938598273e-10	1.1429873081196e-11	NA	NA	"Residuals  "	NA	"Ras signaling pathway"	"Kegg270"	"Environmental Information Processing"	"Signal transduction"
7	3.89096726052102e-11	5.55852465788717e-12	1.33423571456251	0.266782437149785	"Plant      "	"ns"	"Regulation of lipolysis in adipocytes"	"Kegg271"	"Organismal Systems"	"Endocrine system"
1	2.52965000822464e-13	2.52965000822464e-13	0.0607202377258067	0.806935055013469	"sex        "	"ns"	"Regulation of lipolysis in adipocytes"	"Kegg271"	"Organismal Systems"	"Endocrine system"
7	4.79366060778717e-11	6.84808658255311e-12	1.64377460877033	0.158941963815807	"Plant:sex  "	"ns"	"Regulation of lipolysis in adipocytes"	"Kegg271"	"Organismal Systems"	"Endocrine system"
32	1.33314366502858e-10	4.16607395321431e-12	NA	NA	"Residuals  "	NA	"Regulation of lipolysis in adipocytes"	"Kegg271"	"Organismal Systems"	"Endocrine system"
7	9.02134036460689e-09	1.28876290922956e-09	3.53003725226198	0.00639592716478557	"Plant      "	"**"	"Renal cell carcinoma"	"Kegg272"	"Human Diseases"	"Cancer: specific types"
1	4.911199842776e-11	4.911199842776e-11	0.13452217063468	0.716202829605484	"sex        "	"ns"	"Renal cell carcinoma"	"Kegg272"	"Human Diseases"	"Cancer: specific types"
7	8.16028364485926e-09	1.16575480640847e-09	3.19310702081382	0.0111458312789213	"Plant:sex  "	"*"	"Renal cell carcinoma"	"Kegg272"	"Human Diseases"	"Cancer: specific types"
32	1.1682713282677e-08	3.65084790083658e-10	NA	NA	"Residuals  "	NA	"Renal cell carcinoma"	"Kegg272"	"Human Diseases"	"Cancer: specific types"
7	3.85787489580325e-10	5.51124985114749e-11	1.24014531634909	0.310576741400454	"Plant      "	"ns"	"Renin secretion"	"Kegg273"	"Organismal Systems"	"Endocrine system"
1	2.48497489597242e-10	2.48497489597242e-10	5.59170798225309	0.0242772280552665	"sex        "	"*"	"Renin secretion"	"Kegg273"	"Organismal Systems"	"Endocrine system"
7	1.24830266929352e-10	1.78328952756217e-11	0.401277063285407	0.894389455023726	"Plant:sex  "	"ns"	"Renin secretion"	"Kegg273"	"Organismal Systems"	"Endocrine system"
32	1.4220913703558e-09	4.44403553236187e-11	NA	NA	"Residuals  "	NA	"Renin secretion"	"Kegg273"	"Organismal Systems"	"Endocrine system"
7	8.2210329505988e-09	1.17443327865697e-09	2.98466788492372	0.0158093405712069	"Plant      "	"*"	"Renin-angiotensin system"	"Kegg274"	"Organismal Systems"	"Endocrine system"
1	5.92484078450843e-10	5.92484078450843e-10	1.50572044697429	0.22874481465965	"sex        "	"ns"	"Renin-angiotensin system"	"Kegg274"	"Organismal Systems"	"Endocrine system"
7	6.73577148719153e-10	9.62253069598791e-11	0.244543975906837	0.970335742359625	"Plant:sex  "	"ns"	"Renin-angiotensin system"	"Kegg274"	"Organismal Systems"	"Endocrine system"
32	1.25916404658817e-08	3.93488764558804e-10	NA	NA	"Residuals  "	NA	"Renin-angiotensin system"	"Kegg274"	"Organismal Systems"	"Endocrine system"
7	4.4944223568383e-09	6.42060336691186e-10	0.939957364830665	0.49011489890634	"Plant      "	"ns"	"Retinol metabolism"	"Kegg275"	"Metabolism"	"Metabolism of cofactors and vitamins"
1	1.21617485532464e-08	1.21617485532464e-08	17.8044405931601	0.000188289285658597	"sex        "	"***"	"Retinol metabolism"	"Kegg275"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	3.49083616268728e-09	4.98690880383897e-10	0.730068716292917	0.647882505505971	"Plant:sex  "	"ns"	"Retinol metabolism"	"Kegg275"	"Metabolism"	"Metabolism of cofactors and vitamins"
32	2.18583645842483e-08	6.83073893257759e-10	NA	NA	"Residuals  "	NA	"Retinol metabolism"	"Kegg275"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	3.68772858410983e-08	5.26818369158547e-09	3.16930206051622	0.0115972026727222	"Plant      "	"*"	"Retrograde endocannabinoid signaling"	"Kegg276"	"Organismal Systems"	"Nervous system"
1	5.47009141800859e-10	5.47009141800859e-10	0.329076832115725	0.570213350752094	"sex        "	"ns"	"Retrograde endocannabinoid signaling"	"Kegg276"	"Organismal Systems"	"Nervous system"
7	1.28771791783663e-08	1.83959702548089e-09	1.10668856378117	0.382816741920222	"Plant:sex  "	"ns"	"Retrograde endocannabinoid signaling"	"Kegg276"	"Organismal Systems"	"Nervous system"
32	5.31921145134637e-08	1.66225357854574e-09	NA	NA	"Residuals  "	NA	"Retrograde endocannabinoid signaling"	"Kegg276"	"Organismal Systems"	"Nervous system"
7	4.83732243078986e-13	6.91046061541408e-14	0.780682344018909	0.608161142469526	"Plant      "	"ns"	"Rheumatoid arthritis"	"Kegg277"	"Human Diseases"	"Immune disease"
1	1.03650925382667e-12	1.03650925382667e-12	11.7095591583255	0.00171879345719014	"sex        "	"**"	"Rheumatoid arthritis"	"Kegg277"	"Human Diseases"	"Immune disease"
7	5.70497061534944e-13	8.14995802192777e-14	0.920709730697602	0.503660391715129	"Plant:sex  "	"ns"	"Rheumatoid arthritis"	"Kegg277"	"Human Diseases"	"Immune disease"
32	2.83258282177692e-12	8.85182131805289e-14	NA	NA	"Residuals  "	NA	"Rheumatoid arthritis"	"Kegg277"	"Human Diseases"	"Immune disease"
7	2.33506673573068e-07	3.3358096224724e-08	1.68611504085881	0.147856149958792	"Plant      "	"ns"	"Riboflavin metabolism"	"Kegg278"	"Metabolism"	"Metabolism of cofactors and vitamins"
1	6.33650534777759e-09	6.33650534777759e-09	0.320284374185939	0.575384320554323	"sex        "	"ns"	"Riboflavin metabolism"	"Kegg278"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	7.2005184049187e-08	1.02864548641696e-08	0.519938132762403	0.812719930427618	"Plant:sex  "	"ns"	"Riboflavin metabolism"	"Kegg278"	"Metabolism"	"Metabolism of cofactors and vitamins"
32	6.33087928951435e-07	1.97839977797324e-08	NA	NA	"Residuals  "	NA	"Riboflavin metabolism"	"Kegg278"	"Metabolism"	"Metabolism of cofactors and vitamins"
7	3.25744129024713e-06	4.6534875574959e-07	1.11514542311539	0.377876590777744	"Plant      "	"ns"	"Ribosome"	"Kegg279"	"Genetic Information Processing"	"Translation"
1	2.43134039634646e-07	2.43134039634646e-07	0.582637877832923	0.450871316645149	"sex        "	"ns"	"Ribosome"	"Kegg279"	"Genetic Information Processing"	"Translation"
7	2.4080331430159e-06	3.44004734716558e-07	0.824360870657669	0.574572037895474	"Plant:sex  "	"ns"	"Ribosome"	"Kegg279"	"Genetic Information Processing"	"Translation"
32	1.33535589846078e-05	4.17298718268995e-07	NA	NA	"Residuals  "	NA	"Ribosome"	"Kegg279"	"Genetic Information Processing"	"Translation"
7	2.01213125585516e-08	2.87447322265023e-09	0.780845119705863	0.608034629098545	"Plant      "	"ns"	"Ribosome biogenesis in eukaryotes"	"Kegg280"	"Genetic Information Processing"	"Translation"
1	1.38963177576849e-08	1.38963177576849e-08	3.77490797877943	0.0608688329412794	"sex        "	"ns"	"Ribosome biogenesis in eukaryotes"	"Kegg280"	"Genetic Information Processing"	"Translation"
7	1.77743481072599e-08	2.53919258675142e-09	0.689766780130277	0.679894822210346	"Plant:sex  "	"ns"	"Ribosome biogenesis in eukaryotes"	"Kegg280"	"Genetic Information Processing"	"Translation"
32	1.17799472396596e-07	3.68123351239362e-09	NA	NA	"Residuals  "	NA	"Ribosome biogenesis in eukaryotes"	"Kegg280"	"Genetic Information Processing"	"Translation"
7	6.68217076825612e-08	9.54595824036589e-09	1.6162237933585	0.166574358122297	"Plant      "	"ns"	"Salivary secretion"	"Kegg281"	"Organismal Systems"	"Digestive system"
1	9.36634362499054e-12	9.36634362499054e-12	0.00158581328791788	0.968482239113523	"sex        "	"ns"	"Salivary secretion"	"Kegg281"	"Organismal Systems"	"Digestive system"
7	6.56937376158278e-08	9.38481965940397e-09	1.58894146066638	0.174472271360198	"Plant:sex  "	"ns"	"Salivary secretion"	"Kegg281"	"Organismal Systems"	"Digestive system"
32	1.89002701820732e-07	5.90633443189788e-09	NA	NA	"Residuals  "	NA	"Salivary secretion"	"Kegg281"	"Organismal Systems"	"Digestive system"
7	1.55529120401882e-07	2.22184457716974e-08	2.86269050851287	0.0194349978742551	"Plant      "	"*"	"Salmonella infection"	"Kegg282"	"Human Diseases"	"Infectious disease: bacterial"
1	6.8446632757553e-09	6.8446632757553e-09	0.881886734779214	0.354720246625487	"sex        "	"ns"	"Salmonella infection"	"Kegg282"	"Human Diseases"	"Infectious disease: bacterial"
7	3.79391709140713e-08	5.41988155915304e-09	0.698313628958485	0.67308939322222	"Plant:sex  "	"ns"	"Salmonella infection"	"Kegg282"	"Human Diseases"	"Infectious disease: bacterial"
32	2.48364349055556e-07	7.76138590798613e-09	NA	NA	"Residuals  "	NA	"Salmonella infection"	"Kegg282"	"Human Diseases"	"Infectious disease: bacterial"
7	3.90076221409648e-08	5.57251744870925e-09	9.2773032321865	3.13016182862633e-06	"Plant      "	"***"	"Secondary bile acid biosynthesis"	"Kegg283"	"Metabolism"	"Lipid metabolism"
1	5.30919569393441e-11	5.30919569393441e-11	0.0883891684952142	0.768156566098637	"sex        "	"ns"	"Secondary bile acid biosynthesis"	"Kegg283"	"Metabolism"	"Lipid metabolism"
7	5.47433561109414e-09	7.82047944442021e-10	1.30197814353678	0.281156025581664	"Plant:sex  "	"ns"	"Secondary bile acid biosynthesis"	"Kegg283"	"Metabolism"	"Lipid metabolism"
32	1.92211630789467e-08	6.00661346217085e-10	NA	NA	"Residuals  "	NA	"Secondary bile acid biosynthesis"	"Kegg283"	"Metabolism"	"Lipid metabolism"
7	2.75992351032322e-07	3.94274787189031e-08	1.83981961496695	0.113523853801487	"Plant      "	"ns"	"Selenocompound metabolism"	"Kegg284"	"Metabolism"	"Metabolism of other amino acids"
1	4.98511710173236e-08	4.98511710173236e-08	2.326224380733	0.137033773105883	"sex        "	"ns"	"Selenocompound metabolism"	"Kegg284"	"Metabolism"	"Metabolism of other amino acids"
7	1.38134546853548e-07	1.9733506693364e-08	0.920832218194213	0.503573488879312	"Plant:sex  "	"ns"	"Selenocompound metabolism"	"Kegg284"	"Metabolism"	"Metabolism of other amino acids"
32	6.85762511031585e-07	2.1430078469737e-08	NA	NA	"Residuals  "	NA	"Selenocompound metabolism"	"Kegg284"	"Metabolism"	"Metabolism of other amino acids"
7	1.73577775533468e-10	2.47968250762097e-11	1.33199105132852	0.267761485219941	"Plant      "	"ns"	"Serotonergic synapse"	"Kegg285"	"Organismal Systems"	"Nervous system"
1	1.94707050647804e-11	1.94707050647804e-11	1.04589215875973	0.314124637856326	"sex        "	"ns"	"Serotonergic synapse"	"Kegg285"	"Organismal Systems"	"Nervous system"
7	1.41798724400845e-10	2.02569606286922e-11	1.08812681468722	0.393832718150835	"Plant:sex  "	"ns"	"Serotonergic synapse"	"Kegg285"	"Organismal Systems"	"Nervous system"
32	5.95723523553165e-10	1.86163601110364e-11	NA	NA	"Residuals  "	NA	"Serotonergic synapse"	"Kegg285"	"Organismal Systems"	"Nervous system"
7	3.89280134608812e-10	5.56114478012589e-11	0.932582293849157	0.495278653054646	"Plant      "	"ns"	"Sesquiterpenoid and triterpenoid biosynthesis"	"Kegg286"	"Metabolism"	"Metabolism of terpenoids and polyketides"
1	2.67127964702665e-10	2.67127964702665e-10	4.47963180106288	0.0421715306551274	"sex        "	"*"	"Sesquiterpenoid and triterpenoid biosynthesis"	"Kegg286"	"Metabolism"	"Metabolism of terpenoids and polyketides"
7	3.99416055634386e-10	5.7059436519198e-11	0.95686450000335	0.478403605571398	"Plant:sex  "	"ns"	"Sesquiterpenoid and triterpenoid biosynthesis"	"Kegg286"	"Metabolism"	"Metabolism of terpenoids and polyketides"
